titles,year,rating,duration (min),genre,description,directors,actors
41. Tränen der Erinnerung,1991,7.6,119,"['Animation', 'Drama', 'Romance']",A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,['Isao Takahata'],"['Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna', 'Mayumi Izuka', 'Mei Oshitani', 'Megumi Komine', 'Yukiyo Takizawa', 'Masashi Ishikawa', 'Yuuki Masuda', 'Michie Terada', 'Masahiro Ito', 'Yorie Yamashita', 'Yuki Minowa', 'Chie Kitagawa', 'Koji Goto', 'Sachiko Ishikawa', 'Masako Watanabe', 'Masako Watanabe']"
42. Akira Kurosawas Träume,1990,7.7,121,"['Drama', 'Fantasy']",A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,['Akira Kurosawa'],"['Akira Terao', 'Mitsuko Baishô', 'Toshie Negishi', 'Mieko Harada', 'Mitsunori Isaki', 'Toshihiko Nakano', 'Yoshitaka Zushi', 'Hisashi Igawa', 'Chôsuke Ikariya', 'Chishû Ryû', 'Martin Scorsese', 'Masayuki Yui', 'Tessho Yamashita', 'Misato Tate', 'Catherine Cadou', 'Mieko Suzuki', 'Mugita Endo', 'Ryûjirô Oki']"
43. The Five Heartbeats,1991,7.5,125,"['Drama', 'Music']",The story of the rise and fall of an African American vocal group.,['Robert Townsend'],"['Robert Townsend', 'Michael Wright', 'Leon', 'Harry Lennix', 'Tico Wells', 'Diahann Carroll', 'Harold Nicholas', 'Tressa Thomas', 'John Canada Terrell', 'Chuck Patterson', 'Hawthorne James', 'Roy Fegan', 'Troy Byer', 'Carla Brothers', 'Deborah Lacey', 'Theresa Randle', 'John Witherspoon', 'Anne-Marie Johnson']"
44. Rote Laterne,1991,8.1,98,"['Drama', 'Romance']","China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.",['Yimou Zhang'],"['Gong Li', 'Jingwu Ma', 'Saifei He', 'Cuifen Cao', 'Qi Zhao', 'Lin Kong', 'Shuyuan Jin', 'Weimin Ding', 'Zengyin Cao', 'Zhigang Cui', 'Chu Xiao', 'Espérance Pham Thai Lan']"
45. Close Up,1990,8.2,137,"['Biography', 'Crime', 'Drama']","The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",['Abbas Kiarostami'],"['Hossain Sabzian', 'Mohsen Makhmalbaf', 'Abolfazl Ahankhah', 'Mehrdad Ahankhah', 'Nayer Mohseni Zonoozi', 'Ahmad Reza Moayed Mohseni', 'Hossain Farazmand', 'Mahrokh Ahankhah', 'Monoochehr Ahankhah', 'Haj Ali Reza Ahmadi', 'Mohammad Ali Barrati', 'Davood Goodarzi', 'Abbas Kiarostami', 'Hassan Komaili', 'Davood Mohabbat', 'Hooshang Shamaei']"
46. Cyrano von Bergerac,1990,7.5,96,"['Comedy', 'Drama', 'History']","Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",['Jean-Paul Rappeneau'],"['Gérard Depardieu', 'Anne Brochet', 'Vincent Perez', 'Jacques Weber', 'Roland Bertin', 'Philippe Morier-Genoud', 'Pierre Maguelon', 'Josiane Stoléru', 'Anatole Delalande', 'Alain Rimoux', 'Philippe Volter', 'Jean-Marie Winling', 'Louis Navarre', 'Gabriel Monnet', 'François Marié', 'Pierre Triboulet', 'Baptiste Roussillon', 'Christian Roy']"
47. Baraka,1992,8.5,78,['Documentary'],A collection of expertly photographed scenes of human life and religion.,['Ron Fricke'],['Patrick Disanto']
48. Paris brennt,1990,8.2,112,['Documentary'],"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",['Jennie Livingston'],"['Brooke Xtravaganza', 'André Christian', 'Dorian Corey', 'Paris Duprée', 'Pepper LaBeija', 'Junior LaBeija', 'Willi Ninja', 'Sandy Ninja', 'Kim Pendavis', 'Freddie Pendavis', 'Sol Pendavis', 'Avis Pendavis', 'Octavia St. Laurent', 'Stevie Saint Laurent', 'Anji Xtravaganza', 'Bianca Xtravaganza', 'Danny Xtravaganza', 'David Xtravaganza']"
49. Europa,1991,7.5,96,"['Crime', 'Drama', 'Thriller']","Just after World War II, an American takes a railway job in Germany, but finds his position politically sensitive with various people trying to use him.",['Lars von Trier'],"['Barbara Sukowa', 'Jean-Marc Barr', 'Udo Kier', 'Ernst-Hugo Järegård', 'Erik Mørk', 'Jørgen Reenberg', 'Henning Jensen', 'Eddie Constantine', 'Max von Sydow', 'Benny Poulsen', 'Erno Müller', 'Dietrich Kuhlbrodt', 'Michael Phillip Simpson', 'Holger Perfort', 'Anne Werner Thomsen', 'Hardy Rafn', 'Cæcilia Holbek Trier', 'János Herskó']"
50. Reise ins Herz der Finsternis,1991,8.1,98,['Documentary'],"Documentary that chronicles how Francis Ford Coppola's Apocalypse Now (1979) was plagued by extraordinary script, shooting, budget, and casting problems--nearly destroying the life and career of the celebrated director.",['Fax Bahr'],"['Dennis Hopper', 'Martin Sheen', 'Marlon Brando', 'George Lucas', 'Eleanor Coppola', 'John Milius', 'Francis Ford Coppola', 'Tom Sternberg', 'Dean Tavoularis', 'Fred Roos', 'Vittorio Storaro', 'Robert Duvall', 'Laurence Fishburne', 'Rona Barrett', 'Tom Snyder', 'Sam Bottoms', 'Monty Cox', 'Frederic Forrest']"
